city,period_month,year_start,year_end,sample_years,temperature_mean_c,daily_max_temperature_mean_c,apparent_temperature_mean_c,relative_humidity_mean_pct,precipitation_days_mean,heavy_rain_days_mean,extreme_rain_days_mean,hot_days_mean,cold_days_mean,windy_days_mean,snow_days_mean,missing_rate,source_product,source_model,spatial_resolution,spatial_method
Shijiazhuang,0,2000,2025,26,13.8751,20.7119,11.3058,54.0546,72.5385,6.0769,0.6154,40.6923,113.5,3.1923,3.5769,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Ningbo,0,2000,2025,26,17.0859,21.5768,16.2668,80.6812,150.1538,17.5769,1.8462,8.2308,26.4231,6.0,0.3462,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Wenzhou,0,2000,2025,26,17.7037,22.0523,17.6662,82.75,166.1538,20.0,2.2308,0.2692,16.8462,3.5385,0.1154,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Zhuhai,0,2000,2025,26,23.5758,25.9752,24.5373,80.1655,145.3462,22.1538,2.8846,0.0,0.0,8.6923,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Hong Kong,0,2000,2025,26,23.415,26.2906,24.2165,79.4347,153.2692,19.3846,3.5385,0.0385,0.0,9.1154,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Macau,0,2000,2025,26,24.0775,24.8837,24.8012,82.3561,153.0385,23.0,5.3846,0.0,0.0,26.0769,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Taipei,0,2000,2025,26,23.1019,24.6143,23.3429,83.0151,221.1923,21.3077,3.5385,0.0,0.0,27.5769,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Mohe,0,2000,2025,26,-2.9593,2.517,-6.391,83.5371,95.2308,3.5769,0.0,0.6154,225.0,0.0,23.8462,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Heihe,0,2000,2025,26,0.523,6.1903,-3.2609,78.1138,96.3846,4.0,0.0769,0.8077,202.9231,0.6923,18.7308,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Hulunbuir,0,2000,2025,26,-0.1803,5.5725,-5.2657,72.8311,76.0385,2.5385,0.1538,0.9615,214.2692,18.3462,14.5385,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Genhe,0,2000,2025,26,-3.061,2.4678,-7.2762,80.9451,91.9615,3.2692,0.0769,0.1538,232.7692,0.1923,21.1538,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
