city,city_zh,city_en,year,pm25_mean_ug_m3,valid_grid_cells,grid_cell_count,source_product,source_version,spatial_method
Changsha,长沙,Changsha,2021,38.6675,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changsha,长沙,Changsha,2022,39.8914,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changsha,长沙,Changsha,2023,42.3906,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changsha,长沙,Changsha,2024,40.8614,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chengdu,成都,Chengdu,2015,55.9203,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chengdu,成都,Chengdu,2016,54.5252,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chengdu,成都,Chengdu,2017,50.8762,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chengdu,成都,Chengdu,2018,45.088,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chengdu,成都,Chengdu,2019,41.913,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chengdu,成都,Chengdu,2020,38.6037,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chengdu,成都,Chengdu,2021,40.8197,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chengdu,成都,Chengdu,2022,44.1556,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chengdu,成都,Chengdu,2023,45.5588,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chengdu,成都,Chengdu,2024,40.4556,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chongqing,重庆,Chongqing,2015,44.2581,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chongqing,重庆,Chongqing,2016,43.4866,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chongqing,重庆,Chongqing,2017,38.6579,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chongqing,重庆,Chongqing,2018,34.0578,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chongqing,重庆,Chongqing,2019,34.5971,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chongqing,重庆,Chongqing,2020,29.349,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chongqing,重庆,Chongqing,2021,30.4,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chongqing,重庆,Chongqing,2022,30.9195,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chongqing,重庆,Chongqing,2023,33.2489,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Chongqing,重庆,Chongqing,2024,29.6116,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Copenhagen,哥本哈根,Copenhagen,2015,9.5419,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Copenhagen,哥本哈根,Copenhagen,2016,8.9774,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Copenhagen,哥本哈根,Copenhagen,2017,9.0845,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
